表头,,
解释,,
KEY,VAL,NULL
string,int,null
DeathStatus_1,1,死亡状态
BornStatus_2,2,出生状态
StandStatus_3,3,待机状态
MoveStatus_4,4,移动状态
FightStatus_5,5,战斗状态
FightStandStatus_6,6,战斗待机
ChargingStatus_7,7,吟唱状态
WinStatus_8,8,胜利状态
LoseStatus_9,9,失败状态
,,
HitStatus_10,10,被击状态
HitVertigoStatus_11,11,击晕状态
HitBackStatus_12,12,击退状态
HitFlyStatus_13,13,击飞状态
HitdownStatus_14,14,倒地状态
GetUpStatus_15,15,起身状态
FrozenStatus_16,16,冰冻状态
PetrifiedStatus_17,17,石化状态
HitBackStatusReady_18,18,真正的击退
,,
SkillStatus_31,31,技能1状态
SkillStatus_32,32,技能2状态
SkillStatus_33,33,技能3状态
SkillStatus_34,34,技能4状态
SkillStatus_35,35,技能5状态
SkillStatus_36,36,技能6状态
SkillStatus_37,37,技能7状态
SkillStatus_38,38,技能8状态
SkillStatus_39,39,技能9状态
SkillStatus_40,40,技能10状态
SkillStatus_41,41,技能11状态
SkillStatus_42,42,技能12状态
SkillStatus_43,43,技能13状态
SkillStatus_44,44,技能14状态
SkillStatus_45,45,技能15状态
SkillStatus_46,46,技能16状态
SkillStatus_47,47,技能17状态
SkillStatus_48,48,技能18状态
SkillStatus_49,49,技能19状态
SkillStatus_50,50,技能20状态
