角色ID,角色备注,士兵星级,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值,派发水晶消耗值,派发CD
10000-99999,策划标注给自己看的无效列,与ID构成双主键,,,,,,,,,,0-1,,,0-1,,,,,"逻辑上这个数值无效,供显示只用",百分比,百分比,百分比,百分比,百分比,百分比,兽族一般不为0其他种族为0,一般都必须填0,,每秒回复多少点,5(轻)~35(重),,每秒回复多少点,一般填50,,单位毫秒
Role.ClassID,Null,Card.Star,Role.ClassFireRange,Role.ClassFarFireRange,Role.ClassSpeed,Role.ClassHP,Role.ClassHPGrowUp,Role.ClassPAttack,Role.ClassPAttackGrowUp,Role.ClassMattack,Role.ClassMAttackGrowUp,Role.ClassDefend,Role.ClassPGuard,Role.ClassPguardGrowUp,Role.ClassResustance,Role.ClassMGuard,Role.ClassMguardGrowUp,Role.ClassPPenetrate,Role.ClassMpenetrate,Role.ClassAttackSpeed,Role.ClassVampire,Role.ClassRebound,Role.ClassMiss,Role.ClassCrit,Role.ClassCritGrowUp,Role.ClassCritDamage,Role.ClassRage,Role.ClassRageRecover,Role.ClassMP,Role.ClassMPRecover,Role.ClassMass,Role.ClassEndure,Role.ClassEndureRecover,Role.ClassHaterd,Card.ClassCost,Card.ClassCD
index,null,index,int,int,int,int,int,int,int,int,int,float,int,int,float,int,int,int,int,int,float,float,float,float,float,float,int,int,int,int,float,int,int,int,int,int
10000,1星勇士,1,170,300,156,1803,58,187,3,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,2星勇士,2,170,300,156,2019,65,209,3,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,3星勇士,3,170,300,156,2236,72,232,4,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,4星勇士,4,170,300,156,2452,79,254,4,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,5星勇士,5,170,300,156,2668,86,277,4,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,6星勇士,6,170,300,156,2885,93,299,5,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
10000,7星勇士,7,170,300,156,3101,100,322,5,0,0,0,200,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,200,11000
