角色id,备注,展示界面大小缩放值,展示界面XY偏移量,城镇展示界面大小缩放值,城镇展示界面点位顺序值（越小越小）
主键,,,,,
RoleID,Null,ZoomNumber,StandOffSet,HallZoom,Priority
index,null,float,pos,float,int
1000,火法老头,1,[0+0],0.8,0
1100,冰法老妇,1,[0+0],0.8,0
1200,刺客少年,1,[0+0],0.8,0
1300,艾丽卡,1,[0+0],0.8,0
1400,约修亚,1,[0+0],0.8,0
1500,莱奥,1,[0+0],0.8,0
1600,罗迪亚克,1,[0+0],0.8,0
,,,,,
9999,特效大小测试机器人,1,[0+0],0.65,0
,,,,,
10000,勇士,1,[0+0],0.65,700
,,,,,
10200,矮人火枪手,1,[0+0],0.65,610
,,,,,
10300,盗贼,1,[0+0],0.65,710
,,,,,
10400,老铁匠,1,[0+0],0.65,820
,,,,,
10500,魔剑士,1,[0+0],0.65,929
,,,,,
10600,维京人之盾,0.9,[0+0],0.65,910
,,,,,
10700,火焰女王,1,[0+0],0.65,810
,,,,,
10900,牧师,1,[0+0],0.65,720
,,,,,
11000,圣骑士,1,[0+0],0.65,930
,,,,,
11100,影舞者,1,[0+0],0.65,760
,,,,,
12000,盾妹,1,[0+0],0.65,730
,,,,,
20000,嗜血狼人,1,[0+0],0.65,900
,,,,,
20500,牛头人,1,[0+0],0.65,930
,,,,,
20900,投石车,0.7,[100+0],0.6,960
,,,,,
30000,小精灵,1,[0+0],0.8,15
,,,,,
30100,精灵弓手,1,[0+0],0.65,750
,,,,,
30300,小鹿,1,[0+0],0.6,630
,,,,,
30400,水元素,0.9,[0+0],0.65,860
,,,,,
30500,夜刃,1,[0+0],0.65,620
,,,,,
30600,辟谷龙,0.9,[0+-20],0.65,970
,,,,,
30700,石头人,0.7,[20+0],0.65,990
,,,,,
30800,海巨人,0.75,[40+0],0.65,980
,,,,,
30900,古树守卫,0.95,[0+0],0.75,1000
,,,,,
31000,精灵女王,1,[0+-20],0.65,865
,,,,,
31100,火元素,0.9,[0+0],0.6,845
,,,,,
40000,骷髅战士,1,[0+0],0.65,650
,,,,,
40100,僵尸,1,[0+0],0.65,780
,,,,,
40200,骷髅弓箭手,1,[0+0],0.65,640
,,,,,
40300,幽灵,1,[0+0],0.65,770
,,,,,
40400,死灵召唤师,0.8,[0+0],0.5,840
,,,,,
40500,雪女,1,[0+0],0.65,800
,,,,,
40600,屠夫,1,[0+0],0.65,940
,,,,,
40700,死亡骑士,0.9,[0+0],0.65,950
,,,,,
40800,巫妖,1,[0+0],0.65,850
,,,,,
40900,吸血鬼勋爵,1,[0+0],0.65,790
,,,,,
41000,黑寡妇,1,[25+-20],0.65,835
,,,,,
100001,死神,1,[0+0],0.65,0
,,,,,
100100,熊怪,1,[0+0],0.65,0
,,,,,
100200,盗墓老大,1,[0+0],0.65,0
,,,,,
100300,神像,0.7,[0+-10],0.65,0
,,,,,
100400,刺客老大,1,[0+0],0.65,0
,,,,,
100500,刺客老大,1,[0+0],0.65,0
,,,,,
100600,复仇女神,1,[0+0],0.65,0
,,,,,
100700,生命女神,1,[0+0],0.65,0
,,,,,
100800,瘟疫使者,1,[0+0],0.65,0
,,,,,
100900,黑化冰雪女皇,1,[0+0],0.65,0
,,,,,
101000,时光女神,1,[0+0],0.65,0
,,,,,
101100,黑熊,1,[0+0],0.65,0
,,,,,
101200,灰狼,1,[0+0],0.65,0
,,,,,
101300,野兽女,1,[0+0],0.65,0
,,,,,
101400,骷髅战士,1,[0+0],0.65,0
,,,,,
101500,骷髅战士,1,[0+0],0.65,0
,,,,,
101600,骷髅统领,1,[0+0],0.65,0
,,,,,
101700,骷髅召唤师,1,[0+0],0.65,0
,,,,,
101800,野兽女,1,[0+0],0.65,0
,,,,,
101900,骷髅召唤师1,1,[0+0],0.65,0
,,,,,
