章节ID,无效列,章节名称,章节类型;1普通;2精英,章节地图ID,章节解锁T级,章节解锁所需钻石,章节共多少关,章节奖励预览,章节一档星数,章节一档奖励,章节二档星数,章节二档奖励,章节三档星数,章节三档奖励,关卡1ＩＤ;[a+b];a关卡ID;b关卡等级,关卡1描述,关卡1标题,关卡1缩略图图标,关卡1背景图图片,关卡1显示的掉落图标,关卡2ＩＤ;[a+b];a关卡ID;b关卡等级,关卡2描述,关卡2标题,关卡2缩略图图标,关卡2背景图图片,关卡2显示的掉落图标,关卡3ＩＤ;[a+b];a关卡ID;b关卡等级,关卡3描述,关卡3标题,关卡3缩略图图标,关卡3背景图图片,关卡3显示的掉落图标,关卡4ＩＤ;[a+b];a关卡ID;b关卡等级,关卡4描述,关卡4标题,关卡4缩略图图标,关卡4背景图图片,关卡4显示的掉落图标,关卡5ＩＤ;[a+b];a关卡ID;b关卡等级,关卡5描述,关卡5标题,关卡5缩略图图标,关卡5背景图图片,关卡5显示的掉落图标,关卡6ＩＤ;[a+b];a关卡ID;b关卡等级,关卡6描述,关卡6标题,关卡6缩略图图标,关卡6背景图图片,关卡6显示的掉落图标,关卡7ＩＤ;[a+b];a关卡ID;b关卡等级,关卡7描述,关卡7标题,关卡7缩略图图标,关卡7背景图图片,关卡7显示的掉落图标,关卡8ＩＤ;[a+b];a关卡ID;b关卡等级,关卡8描述,关卡8标题,关卡8缩略图图标,关卡8背景图图片,关卡8显示的掉落图标,关卡9ＩＤ;[a+b];a关卡ID;b关卡等级,关卡9描述,关卡9标题,关卡9缩略图图标,关卡9背景图图片,关卡9显示的掉落图标,关卡10ＩＤ;[a+b];a关卡ID;b关卡等级,关卡10描述,关卡10标题,关卡10缩略图图标,关卡10背景图图片,关卡10显示的掉落图标
主键,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Null,Name,Type,MapID,UnlockLevel,UnlockDiamond,TotalStageNum,ChapterAward,Star1,StarAward1,Star2,StarAward2,Star3,StarAward3,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop,NextID,Desc,Name,Thumbnail,BG,Drop
index,null,int,int,int,int,int,int,json,int,item,int,item,int,item,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json,json,int,int,string,string,json
1,,45001,1,1,1,100,10,[],5,[50039+5]*[100003+10]*[211901+1],10,[50039+5]*[100003+10]*[231901+1],15,[50039+10]*[201901+1]*[221901+1],[101+1],40001,40000,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100003+211002+10132],[102+2],40003,40002,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100003+221002+10131],[103+4],40005,40004,w01_stagemap_thumbnail3a.png,w01_stagemap_thumbnail3.png,[100003+100002+231002],[104+5],40007,40006,w01_stagemap_thumbnail3a.png,w01_stagemap_thumbnail3.png,[100003+201005+201002],[105+7],40009,40008,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100003+211001+10034],[106+8],40011,40010,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100003+231001+50002],[107+10],40013,40012,w01_stagemap_thumbnail12a.png,w01_stagemap_thumbnail12.png,[100003+211001+221001],[108+11],40015,40014,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100003+201001+1003],[109+13],40017,40016,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100003+201006+50002],[110+14],40019,40018,w01_stagemap_thumbnail13a.png,w01_stagemap_thumbnail13.png,[100003+211001+201001]
2,,45002,1,2,2,100,10,[],5,[120015+1]*[120013+20]*[120001+20],10,[251+1]*[120103+20]*[201018+1],15,[50039+10]*[100002+10]*[211024+1],[201+16],40037,40036,w01_stagemap_thumbnail5a.png,w01_stagemap_thumbnail5.png,[100003+120013+120005],[202+19],40039,40038,w01_stagemap_thumbnail5a.png,w01_stagemap_thumbnail5.png,[100003+120121+120122],[203+17],40041,40040,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+221010+50015],[204+20],40043,40042,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100003+120013+120001],[205+19],40045,40044,w01_stagemap_thumbnail17a.png,w01_stagemap_thumbnail17.png,[100003+120164+120165],[206+23],40047,40046,w01_stagemap_thumbnail17a.png,w01_stagemap_thumbnail17.png,[100002+221014+50015],[207+20],40049,40048,w01_stagemap_thumbnail17a.png,w01_stagemap_thumbnail17.png,[100003+120013+120001],[208+25],40051,40050,w01_stagemap_thumbnail17a.png,w01_stagemap_thumbnail17.png,[100003+120142+120143],[209+22],40053,40052,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+221018+50015],[210+28],40055,40054,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+120001+120005]
3,,45003,1,3,3,100,10,[],5,[120013+20]*[120005+20]*[231022+1],10,[251+2]*[100002+10]*[221022+1],15,[50039+10]*[100001+15]*[201024+1],[301+28],40073,40072,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100002+120001+1004],[302+31],40075,40074,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100002+120103+120104],[303+30],40077,40076,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100001+231026+50024],[304+33],40079,40078,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+120013+120001],[305+31],40081,40080,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+120144+120145],[306+35],40083,40082,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100001+231022+50024],[307+33],40085,40084,w01_stagemap_thumbnail10a.png,w01_stagemap_thumbnail10.png,[100002+120013+120005],[308+39],40087,40086,w01_stagemap_thumbnail10a.png,w01_stagemap_thumbnail10.png,[100002+120105+120141],[309+35],40089,40088,w01_stagemap_thumbnail10a.png,w01_stagemap_thumbnail10.png,[100001+231014+50024],[310+42],40091,40090,w01_stagemap_thumbnail7a.png,w01_stagemap_thumbnail7.png,[100002+120001+120005]
4,,45004,1,4,4,100,10,[],5,[120013+30]*[120001+30]*[120005+30],10,[251+2]*[100002+10]*[9+1],15,[50039+20]*[100001+20]*[221048+1],[401+38],40109,40108,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120013+120001],[402+42],40111,40110,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120108+120128],[403+41],40113,40112,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100001+211030+50003],[404+45],40115,40114,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120001+120005],[405+44],40117,40116,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120126+120146],[406+49],40119,40118,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100001+211038+50003],[407+48],40121,40120,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120013+120005],[408+54],40123,40122,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100002+120110+120170],[409+52],40125,40124,w01_stagemap_thumbnail6a.png,w01_stagemap_thumbnail6.png,[100001+211042+50008],[410+59],40127,40126,w01_stagemap_thumbnail8a.png,w01_stagemap_thumbnail8.png,[100002+120013+120001]
5,,45005,1,5,5,100,10,[],5,[120013+30]*[120001+30]*[120005+30],10,[251+2]*[100001+10]*[9+1],15,[50039+20]*[100005+20]*[201040+1],[501+60],40145,40144,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100001+120001+120005],[502+64],40147,40146,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100001+120130+120150],[503+63],40149,40148,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+231050+50008],[504+67],40151,40150,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100001+120013+120005],[505+65],40153,40152,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100001+120106+120166],[506+70],40155,40154,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+231046+50029],[507+68],40157,40156,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100001+120013+120001],[508+74],40159,40158,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100001+120128+120148],[509+71],40161,40160,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+231042+50029],[510+78],40163,40162,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100001+120013+120001]
6,,45006,1,6,6,100,10,[],5,[120013+40]*[120001+40]*[120005+40],10,[251+2]*[100001+15]*[9+1],15,[50039+20]*[100005+25]*[221056+1],[601+86],40181,40180,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+120001+120005],[602+92],40183,40182,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+120108+120110],[603+88],40185,40184,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+201042+50030],[604+94],40187,40186,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+120001+120005],[605+90],40189,40188,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+120127+120129],[606+97],40191,40190,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+201046+50030],[607+92],40193,40192,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+120013+120005],[608+100],40195,40194,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+120146+120147],[609+94],40197,40196,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+201030+50032],[610+103],40199,40198,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+120013+120001]
7,,45007,1,7,7,100,10,[],5,[100001+10]*[120002+40]*[120006+40],10,[251+2]*[100005+15]*[9+1],15,[50039+30]*[100005+25]*[201056+1],[701+91],40211,40210,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+120013+120006],[702+96],40213,40212,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100004+120111+120115],[703+93],40215,40214,w01_stagemap_thumbnail1.png,w01_stagemap_thumbnail2.png,[100005+221066+50023],[704+98],40217,40216,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+120013+120002],[705+95],40219,40218,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100004+120173+120175],[706+101],40221,40220,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail3.png,[100005+221070+50016],[707+97],40223,40222,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+120002+120006],[708+105],40225,40224,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100004+120171+120172],[709+100],40227,40226,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+221054+50016],[710+109],40229,40228,w01_stagemap_thumbnail4a.png,w01_stagemap_thumbnail4.png,[100005+120013+120002]
