关卡ID,无效列,关卡场景,关卡敌方召唤师,关卡敌方士兵1,关卡敌方士兵2,关卡敌方士兵3,关卡敌方士兵4,关卡敌方士兵5,关卡敌方士兵6,关卡敌方士兵7,关卡类型;0常规-奖励1个（包含普通、精英和副本关卡）;1常规-奖励n个（包含普通、精英和副本关卡）;2爬塔试练;3金币试练;4英雄试练,"关卡类型参数,填[]，表示不需要读取该字段信息;0类型为无效列——[];1类型为无效列——[];2类型为无效列——[];3类型为[奖励系数+等级系数]——[n1+n2];4类型为无效列——[]",关卡限时(秒！),关卡胜利条件;1敌方Boss死亡;2关卡限时到期（两条件可共存）,关卡失败条件;1我方召唤师死亡;2关卡限时到期（两条件可共存）,关卡胜利增加星级条件1类型;1召唤师血量;2时间;3消耗水晶,关卡胜利增加星级条件1类型参数,关卡胜利增加星级条件2类型;1召唤师血量;2时间(秒);3消耗水晶,关卡胜利增加星级条件2类型参数,关卡1星掉落,关卡2星掉落,关卡3星掉落,首次通关掉落,场景召唤物
主键,,,,,,,,,,,,,,,,,,,,,,,,
StageID,Null,StageSenceID,Boss,Monsters,Monsters,Monsters,Monsters,Monsters,Monsters,Monsters,Type,TypeParam,TimeLimit,Win,Fail,WinStar1,WinStar1Param,WinStar2,WinStar2Param,ItemDrop,ItemDrop,ItemDrop,ItemDrop,ScenceCall
index,null,int,int,int,int,int,int,int,int,int,int,json,int,json,json,int,int,int,int,int,int,int,int,json
1,冰法（正常）,104,101200,221300,,,,,,,0,[],300,[1],[1+2],1,0,2,300,108,108,108,0,
11,新手关2罗迪亚克,1,100101,210201,210401,212001,0,0,0,0,0,[],300,[1],[1],1,50,2,180,101,101,101,0,
12,新手关3刺客,6,100102,210001,210301,230301,0,0,0,0,0,[],300,[1],[1],1,50,2,180,101,101,101,0,
13,新手关4约修亚,8,100103,240001,240101,240201,0,0,0,0,0,[],300,[1],[1],1,50,2,180,101,101,101,0,
14,新手关5火法,11,100104,210601,210701,210901,0,0,0,0,0,[],300,[1],[1],1,50,2,180,101,101,101,0,
100,新手关1艾丽卡,45,100100,221100,221200,221301,0,0,0,0,0,[],300,[1],[1],1,50,2,180,101,101,101,0,[300010+600+1]
101,,1,101200,221200,221300,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,101,[401001+750+1]*[401009+550+1]
