关卡地图ID,描述,前景层CCS,前景层长度,战斗层CCS,战斗层长度,背景层ccs,背景层长度,远景层ccs,远景层长度,蓝方召唤师坐标,蓝方发兵坐标,红方召唤师坐标,红方发兵坐标,Y值,场景音效ID,交互式场景音乐切换条件(1时间大于2场上可以被搜索到的士兵与召唤物数量大于3玩家在场士兵数量大于4玩家水晶等级大于)与参数（1秒2个3个4级）,交互式场景音乐切换条件(1时间大于2场上可以被搜索到的士兵与召唤物数量大于3玩家在场士兵数量大于4玩家水晶等级大于)与参数（1秒2个3个4级）
主键,,,,,,,,,,,,,,,,,
ID,Null,FrontScene_ccs,FontScene_size,FightScene_ccs,FightScene_size,BgScene_ccs,BgScene_size,FarScene_ccs,FarScene_size,BluePos,BlueStartPos,RedPos,RedStartPos,LineY,bgmID,IMSControl1,IMSControl2
index,null,string,float,string,float,string,float,string,float,int,int,int,int,json,int,json,json
1,2.5屏树林场景,f_forest/forest_bg01.csb,5,f_forest/forest_bg02.csb,2.5,f_forest/forest_bg03.csb,2,f_forest/forest_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
3,2.5屏蜘蛛森林场景,f_forest/forest_spider_fb.csb,5,f_forest/forest_spider.csb,2.5,f_forest/forest_bg03.csb,2,f_forest/forest_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],13,[2+5],[2+8]
4,3.5屏小木屋场景,f_forest/forest2_bg01.csb,7,f_forest/woodhouse.csb,3.5,f_forest/forest3_bg03.csb,2.5,f_forest/forest2_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
6,2.5屏黑暗森林特效,s_site/site_bg01.csb,5,s_site/site_bg02.csb,2.5,s_site/site_bg03.csb,2,s_site/site_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],20,[2+5],[2+8]
7,2.5屏黑暗森林1,s_site/site2_bg01.csb,5,s_site/site2_bg02.csb,2.5,s_site/site2_bg03.csb,2,s_site/site2_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],20,[2+5],[2+8]
8,2.5屏村庄,v_village/village_bg01.csb,5,v_village/village_bg02.csb,2.5,v_village/village_bg03.csb,2,v_village/village_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],17,[2+5],[2+8]
9,2.5屏黑暗森林小木屋,s_site/site_bg01.csb,5,s_site/woodhousecs.csb,2.5,s_site/site_bg03.csb,2,s_site/site_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],20,[2+5],[2+8]
10,2.5屏黑暗森林蜘蛛森林,s_site/site_bg01.csb,5,s_site/site_spider.csb,2.5,s_site/site_bg03.csb,2,s_site/site_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],13,[2+5],[2+8]
11,2.5城堡内景,c_castle/castle_bg01.csb,5,c_castle/castle_bg02.csb,2.5,c_castle/castle_bg03.csb,2,c_castle/castle_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],16,[2+5],[2+8]
12,2.5图书馆,l_library/library_bg01.csb,5,l_library/library_bg02.csb,2.5,l_library/library_bg03.csb,2,l_library/library_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],18,[2+5],[2+8]
14,2.5城镇,t_town/town_bg01.csb,5,t_town/town_bg02.csb,2.5,t_town/town_bg03.csb,2,t_town/town_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],15,[2+5],[2+8]
15,2.5海滩,s_seaside/seaside_bg01.csb,5,s_seaside/seaside_bg02.csb,2.5,s_seaside/seaside_bg03.csb,2,s_seaside/seaside_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],21,[2+5],[2+8]
16,2.5雪地1,s_snowfield/snowfield_bg01.csb,5,s_snowfield/snowfield_bg02.csb,2.5,s_snowfield/snowfield_bg03.csb,2,s_snowfield/snowfield_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],23,[2+5],[2+8]
17,2.5雪地村落,s_snowfield/snowfield_bg01.csb,5,s_snowfield/snowfield_bg02_house.csb,2.5,s_snowfield/snowfield_bg03.csb,2,s_snowfield/snowfield_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],23,[2+5],[2+8]
18,2.5龙墓穴中景2,d_dragonnest/dragonnest_bg01.csb,5,d_dragonnest/dragonnest_bg02.csb,2.5,d_dragonnest/dragonnest_bg03.csb,2,d_dragonnest/dragonnest_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],14,[2+5],[2+8]
19,2.5龙墓穴远景1,d_dragonnest/dragonnest_bg01_dragon.csb,5,d_dragonnest/dragonnest_bg02_dragon.csb,2.5,d_dragonnest/dragonnest_bg03_dragon.csb,2,d_dragonnest/dragonnest_bg04_dragon.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],14,[2+5],[2+8]
20,2.5龙墓穴近景（骨龙站位）,d_dragonnest/dragonnest_bg01.csb,5,d_dragonnest/dragonnest_bg02_0.csb,2.5,d_dragonnest/dragonnest_bg03.csb,2,d_dragonnest/dragonnest_bg04.csb,1.5,350,[120+80+120],1650,[2280+2320+2280],[495+480+465],14,[2+5],[2+8]
21,2.5龙墓穴近景3,d_dragonnest/dragonnest_bg01.csb,5,d_dragonnest/dragonnest_bg02_0.csb,2.5,d_dragonnest/dragonnest_bg03.csb,2,d_dragonnest/dragonnest_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],14,[2+5],[2+8]
22,2.5竞技场,e_exam/exam_bg01.csb,5,e_exam/exam_bg02.csb,2.5,e_exam/exam_bg03.csb,2,e_exam/exam_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[475+460+445],10,[2+5],[2+8]
24,村庄燃烧版,v_village/village_bg01_fire.csb,5,v_village/village_bg02_fire.csb,2.5,v_village/village_bg03_fire.csb,2,v_village/village_bg04_fire.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],8,[2+5],[2+8]
