序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件,
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,,
,Null,,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json,
1,出场跳转,0,0,0,0,3000,0,-1,[3],[],
2,石巨人,0,0,0,0,6000,6,-1,[],[],
3,小精灵,0,1,0,0,9000,1,-1,[4],[],
4,精灵弓箭手,0,1,0,0,4000,2,-1,[5],[],
5,夜刃,0,1,0,0,4000,3,-1,[6],[],
6,狼人,0,1,0,0,3000,4,-1,[7],[],
7,牛头,0,1,0,0,9000,5,-1,[8],[],
8,中转时间,0,1,0,0,9000,0,-1,[1],[],
9,精灵弓箭手,0,0,2,70,1000,2,-1,[],[],
10,精灵弓箭手,0,0,2,70,1000,2,-1,[],[],
11,精灵弓箭手,0,0,2,70,1000,2,-1,[],[],
12,精灵弓箭手,0,0,2,40,1000,2,-1,[],[],
13,精灵弓箭手,0,0,2,40,1000,2,-1,[],[],
14,精灵弓箭手,0,0,2,40,1000,2,-1,[],[],
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
