序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,维京人,1,0,0,0,9968,1,-1,[],[]
2,维京人,1,0,0,0,7359,1,-1,[],[]
3,维京人,1,0,0,0,4921,1,-1,[],[]
4,维京人,1,0,0,0,2402,1,-1,[],[]
5,火枪手,1,0,0,0,6801,2,-1,[],[]
6,火枪手,1,0,0,0,5452,2,-1,[],[]
7,火枪手,1,0,0,0,6717,2,-1,[],[]
8,火枪手,1,0,0,0,4031,2,-1,[],[]
9,维京人,1,0,0,0,4980,1,-1,[],[]
10,维京人,1,0,0,0,5145,1,-1,[],[]
11,火枪手,1,0,0,0,8184,2,-1,[],[]
12,火枪手,1,0,0,0,9579,2,-1,[],[]
