步骤ID,是否可触摸屏幕跳过,背景资源名称,标签,人物头像 ,位置 ,对白 ,提示框,提示内容,隐藏场景UI ,荧幕特效,特效持续时间,特效参数,持续时间 
主键,1=可以   0=不可以,填动画/背景csb资源名称                0=没有                                       -1=沿用上一步骤csb资源                      1=关闭上一个步骤资源 ,"0=没有标签,全部播放                          -1=沿用上一步骤csb标签", 0=没有头像  , 1=左   2=右    0=没位置头像, 0=没对白      ,0=没提示框                        -1=沿用上一个步骤资源              1=关闭上一个步骤资源             , 0=没提示内容, 0=不用隐藏        1=要隐藏,0=没特效         1=震屏                  2=屏幕闪红框,单位：ms       0=没特效,震屏填震屏强度数字     屏幕红框参数填0      0=没参数,单位：ms
Step_ID,TouchScreen_Skip,Bg_Res,Tag,RoleHead,HeadPos,Dialogue_ID,TipPanel,TipContent,Hide_Ui,Screen_Effect,EffectTime,Effect_Para,Lasting_Time
index,int,string,string,string,int,int,string,int,int,int,int,int,int
1,0,ui_new/s_story/Chapter1/Chapter1_Act_1.csb,0,0,0,0,0,0,1,0,0,0,1500
2,0,ui_new/s_story/Chapter1/Chapter1_Act_2.csb,0,0,0,0,0,0,1,0,0,0,1500
3,0,1,0,0,0,0,0,0,1,0,0,0,10
4,1,0,0,story_icon_01.png,1,70006,0,0,1,0,0,0,3000
5,1,0,0,story_icon_02.png,2,70007,0,0,1,0,0,0,2000
6,1,0,0,story_icon_01.png,1,70008,0,0,1,0,0,0,3500
7,1,0,0,story_icon_02.png,2,70009,0,0,1,0,0,0,3000
8,1,0,0,story_icon_01.png,1,70010,0,0,1,0,0,0,3000
9,1,0,0,story_icon_02.png,2,70011,0,0,1,0,0,0,3000
10,1,0,0,story_icon_01.png,1,70012,0,0,1,0,0,0,3000
11,1,0,0,story_icon_02.png,2,70013,0,0,1,0,0,0,3000
