公会等级ID,无效列,副会长人数,成员上限,不活跃标准,奖励活跃度,奖励礼包,超级活跃度,超级活跃奖励,升级所需声望,降级所需声望,不满足活跃扣除声望
主键,,,,,,,,,,,
UnionLv,Null,ViceChairmanNum,MemberLimit,ActiveMin,ActiveReward,RewardID,ActiveSReward,SRewardID,UpLevelCost,DownLevelCost,UnActiveReduce
index,null,int,int,int,int,int,int,int,int,int,int
1,公会1级,2,20,200,800,200001,1500,200101,3000,0,0
2,公会2级,2,25,300,1000,200002,1900,200102,10000,0,0
3,公会3级,2,30,500,1500,200003,2250,200103,25000,0,0
4,公会4级,2,35,600,1750,200004,2600,200104,50000,17500,500
5,公会5级,2,40,800,2000,200005,3000,200105,90000,35000,1000
6,公会6级,2,45,1000,2250,200006,3400,200106,150000,63000,1800
7,公会7级,2,50,1200,2500,200007,3750,200107,250000,105000,3000
8,公会8级,2,60,1500,3000,200008,4500,200108,400000,175000,5000
9,公会9级,2,70,2000,3500,200009,5250,200109,600000,280000,8000
10,公会10级,2,80,2500,4000,200010,6000,200110,,420000,12000
